Date,P1,P2,P3,P,E,T,Q
2004-01-01,0,0,0,0,0.8406,8.25,1.1422
2004-01-02,0,0,0,0,0.8793,9.75,1.0697
2004-01-03,0,0,0,0,1.0302,13.25,1.0018
2004-01-04,0,0,0,0,1.2331,17.5,0.9387
2004-01-05,0,0,0,0,1.298,20.25,0.8882
2004-01-06,3.355329949,4.771712159,4.986928105,3,1.0436,15,0.8504
2004-01-07,0,0,0,0,0.7443,2,0.8109
2004-01-08,0,0,0,0,0.6655,-0.75,0.7778
2004-01-09,4.480541455,4.888337469,4.111111111,5,0.6583,1.25,0.7636
2004-01-10,0,0,0,0,0.5937,-1.095,0.7904
2004-01-11,0,0,0,0,0.5982,-4.25,0.792
2004-01-12,0,0,0,0,0.7764,1.655,0.7731
2004-01-13,0,0,0,0,0.9402,7.34,0.7668
2004-01-14,0,0,0,0,0.9436,6.75,0.7462
2004-01-15,0,0,0,0,0.9416,6.75,0.7257
2004-01-16,0,0,0,0,0.8945,4.235,0.7005
2004-01-17,0,0,0,0,0.8482,2,0.6674
2004-01-18,5.692047377,6.024813896,6.296296296,5.37,0.9605,8.25,0.6563
2004-01-19,0,0.039702233,0.008714597,0,1.1576,10.5,0.6721
2004-01-20,0,0,0,0,0.8181,0.5,0.6626
2004-01-21,0,0,0,0,0.7981,-0.795,0.6484
2004-01-22,0,0,0,0,0.9366,2.5,0.6374
2004-01-23,0,0,0,0,1.0247,4.75,0.6153
2004-01-24,0,0,0,0,1.0695,6,0.5837
2004-01-25,0,0,0,0,1.1331,7.155,0.5585
2004-01-26,14.92385787,11.75434243,12.03703704,17,0.5684,-1.045,0.6311
2004-01-27,10.88663283,5.35483871,6.675381264,14,0.5844,-0.595,0.8046
2004-01-28,0,0,0,0,0.7298,-0.25,0.9293
2004-01-29,0,0,0,0,1.0148,2.75,1.0555
2004-01-30,0,0,0,0,1.1707,5.75,1.0697
2004-01-31,0,0,0,0,1.1248,3.64,1.0302
2004-02-01,0,0,0,0,0.9286,-0.75,0.9466
2004-02-02,0,0,0,0,1.1276,2.5,0.8677
2004-02-03,5.671742809,5.23325062,5.873638344,6,1.1674,7.22,0.8267
2004-02-04,0,0.218362283,1.679738562,0,1.3081,5.75,0.8598
2004-02-05,0,0,0,0,1.3375,5.75,0.8504
2004-02-06,0.162436548,0,0,0,1.5879,10.25,0.8377
2004-02-07,5,5.081885856,5.459694989,5,1.5473,15.25,0.8583
2004-02-08,0,0,0,0,1.3875,5.5,0.8614
2004-02-09,0,0,0,0,1.2459,3.155,0.8283
2004-02-10,0,0.114143921,0.967320261,0,1.2871,7.25,0.7857
2004-02-11,0,0,0,0,1.3594,9,0.7399
2004-02-12,14.96615905,12.31265509,11.7037037,17,1.2386,7.75,0.7857
2004-02-13,14.49238579,16.02977667,15.61437908,0,1.2359,5.17,1.2085
2004-02-14,9.116751269,4.049627792,4.198257081,9,1.3603,7.75,1.4594
2004-02-15,12.87309645,12.11414392,12.48801743,13.2,1.0016,7.02,1.7986
2004-02-16,9.886632826,11.36724566,9.474945534,10.71,1.1536,3.02,2.1614
2004-02-17,6.984771574,4.669975186,4.474945534,10,0.9778,1.79,2.3981
2004-02-18,13.03553299,12.37717122,11.79956427,9.91,1.0818,2.75,2.6189
2004-02-19,0,0,0,0,1.7897,6,2.6978
2004-02-20,0,0,0,0,2.0518,10.04,2.5401
2004-02-21,0,0,0,0,2.281,13.635,2.2876
2004-02-22,0,0,0,0,2.1713,10.64,2.0194
2004-02-23,0,0,0,0,1.9699,7.25,1.7512
2004-02-24,5.487309645,3.878411911,1.366013072,7,1.6036,8.515,1.5556
2004-02-25,1.950930626,1.759305211,0.917211329,3,1.4343,7,1.4262
2004-02-26,11.47715736,9.074441687,7.346405229,11.36,1.3363,5.25,1.4089
2004-02-27,29.11675127,27.11166253,28.77995643,30,0.8507,2.25,2.0825
2004-02-28,6.153976311,10.14143921,9.527233115,6,1.4698,4.015,2.6821
2004-02-29,0,0,0,0,2.1648,6.5,2.8872
2004-03-01,0,0,0,0,2.4389,10.25,2.7925
2004-03-02,0,0,0,0,2.8303,16.25,2.4927
2004-03-03,0,0,0,0,3.0105,18.25,2.1614
2004-03-04,0,0,0,0,3.075,18.75,1.9563
2004-03-05,0,0,0,0,3.1478,20.45,1.8301
2004-03-06,0,0,0,0,2.9409,21.5,1.6723
2004-03-07,1.079526227,1.870967742,1.777777778,3,2.5136,17,1.4783
2004-03-08,0,0,0,0,2.8519,12.75,1.2827
2004-03-09,0,0,0,0,2.4246,6.52,1.1186
2004-03-10,1.395939086,0.985111663,1,2,2.2025,8,0.9876
2004-03-11,0,0,0,0,2.4444,6.5,0.8772
2004-03-12,0,0,0,0,2.8348,11,0.7873
2004-03-13,0,0,0,0,2.9342,11.25,0.7131
